family,model_ref,step,task,session,layer,n_layers,n_stim,rsa,rsa_pearson,rsa_kendall
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-5,9,12,60,-0.0140628563112236,-0.0139035714570847,-0.0094055500729768
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-7,9,12,60,-0.02666540165179,-0.0057353732878723,-0.0170424096093103
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-9,9,12,60,-0.0360246542865986,-0.0069225450865969,-0.0236777137966165
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-5,10,12,60,-0.0128254904169253,-0.0120758417397531,-0.0085841213874863
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-7,10,12,60,-0.0261772200255028,-0.0032661287775972,-0.0167396435152804
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-9,10,12,60,-0.0372809055971503,-0.0048508141591549,-0.0244173828617783
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-5,11,12,60,-0.0124996536889229,-0.0108459663421897,-0.0083375650324323
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-7,11,12,60,-0.0254420759294468,-0.0018495056127312,-0.0161328338331528
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-9,11,12,60,-0.0383531241852289,-0.0036573527143038,-0.0250267475320411
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-5,0,12,60,-0.0411172375944366,-0.0382814979957979,-0.0272521421978646
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-7,0,12,60,-0.0702101553301682,-0.0435397039280963,-0.0471286723962275
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-9,0,12,60,-0.0625522413066262,-0.04352457809808,-0.0427200403688125
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-5,1,12,60,-0.0397663428004606,-0.0322754938827186,-0.0273006869724348
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-7,1,12,60,-0.0686875043080935,-0.0369654746469872,-0.0466585545793371
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-9,1,12,60,-0.060882789553214,-0.0382145620348424,-0.0416750502214855
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-5,2,12,60,-0.0359525079714304,-0.0315408133559011,-0.0248491758566396
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-7,2,12,60,-0.0677495589304758,-0.036363861289147,-0.0458550108107935
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-9,2,12,60,-0.0593923889446175,-0.038120638109428,-0.0408178517021011
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-5,3,12,60,-0.0315243961431703,-0.0292029886987672,-0.0215992309485712
