dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,repo,ceiling_lower,ceiling_upper,ceiling_n_stim,ceiling_n_subjects,frac_of_ceiling,seed_null_sd,params
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Sem,ses-11+,72,0.0125430453298001,-0.000204295388026,0.0086405801628645,BrainAlign/gpt2-babylm-3,0.2731807870321323,0.6611824419010607,72,3.0,0.04591481511591352,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Sem,ses-11+,72,0.0109253201639482,0.0032440142004238,0.0074529367988754,BrainAlign/gpt2-babylm-3,0.2731807870321323,0.6611824419010607,72,3.0,0.03999300347085951,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Sem,ses-11+,72,0.0059364859060413,-0.0007124873257189,0.0040461949780877,BrainAlign/gpt2-babylm-3,0.2731807870321323,0.6611824419010607,72,3.0,0.0217309788530005,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Sem,ses-11+,72,0.0053626548903103,-0.0031941412849535,0.0036517430304812,BrainAlign/gpt2-babylm-3,0.2731807870321323,0.6611824419010607,72,3.0,0.01963042477683297,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Sem,ses-11+,72,0.0066953060097746,-0.0007362731417774,0.0044094092714582,BrainAlign/gpt2-babylm-3,0.2731807870321323,0.6611824419010607,72,3.0,0.024508700200014725,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Sem,ses-11+,72,0.005957935249335,-0.0017567544936415,0.003931656912556,BrainAlign/gpt2-babylm-3,0.2731807870321323,0.6611824419010607,72,3.0,0.02180949588022898,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Sem,ses-9,72,-0.0026086707410861,-0.0145851775951262,-0.0017480836311629,BrainAlign/gpt2-babylm-3,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Sem,ses-9,72,-0.0027690995836532,-0.0014131864642522,-0.0019642971987174,BrainAlign/gpt2-babylm-3,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Sem,ses-9,72,0.0033421207156435,-0.0018315874981984,0.0023048488801913,BrainAlign/gpt2-babylm-3,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Sem,ses-9,72,0.017850585008597,0.0090505916669152,0.0118188583556131,BrainAlign/gpt2-babylm-3,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Sem,ses-9,72,0.0277924950373331,0.0097606423808781,0.0184124534114887,BrainAlign/gpt2-babylm-3,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Sem,ses-9,72,0.0302344066200831,0.0101827503096992,0.0201299118914399,BrainAlign/gpt2-babylm-3,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Sem,ses-9,72,0.0286806342435998,0.0051400215948981,0.0191658321312961,BrainAlign/gpt2-babylm-3,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Sem,ses-9,72,0.02718582672122,0.0061829435853058,0.0181901148136918,BrainAlign/gpt2-babylm-3,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Sem,ses-9,72,0.0276596223632845,0.0054568884866806,0.0185735417068621,BrainAlign/gpt2-babylm-3,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Phon,ses-11,96,0.015635344142002,0.015935714757193,0.0104239541604614,BrainAlign/gpt2-babylm-5,,,96,,,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Phon,ses-11,96,0.0035412923543391,0.0085800008328729,0.0023121798793979,BrainAlign/gpt2-babylm-5,,,96,,,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Phon,ses-11,96,0.0102200659266141,0.009920421114835,0.0067951189665323,BrainAlign/gpt2-babylm-5,,,96,,,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Phon,ses-11,96,-0.0049616263361168,-0.0023646242083524,-0.0033833212115614,BrainAlign/gpt2-babylm-5,,,96,,,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Phon,ses-11,96,0.0016711667399487,1.63994535186604e-05,0.0010530548789169,BrainAlign/gpt2-babylm-5,,,96,,,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Phon,ses-11,96,0.0029220420694191,0.0024067078198404,0.0019248604072145,BrainAlign/gpt2-babylm-5,,,96,,,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Phon,ses-11,96,0.0092597486370685,0.007286713498501,0.0060922486079203,BrainAlign/gpt2-babylm-5,,,96,,,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Phon,ses-11,96,0.0111581599044772,0.0101035666913899,0.007397359377826,BrainAlign/gpt2-babylm-5,,,96,,,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Phon,ses-11,96,0.0106121383797004,0.0098392668545882,0.0069861811800833,BrainAlign/gpt2-babylm-5,,,96,,,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Phon,ses-11+,96,0.0313445181906827,0.0253751263999492,0.0208559895021607,BrainAlign/gpt2-babylm-5,0.2821380444353854,0.6689092985587908,96,3.0,0.11109638990165024,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Phon,ses-11+,96,0.0194385182012781,0.0231952871618281,0.0129577892966678,BrainAlign/gpt2-babylm-5,0.2821380444353854,0.6689092985587908,96,3.0,0.06889718910534896,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Phon,ses-11+,96,0.0341885254916036,0.0295137741892303,0.0226765641895922,BrainAlign/gpt2-babylm-5,0.2821380444353854,0.6689092985587908,96,3.0,0.12117658772329577,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Phon,ses-11+,96,0.0294696570602783,0.015893564449195,0.0195141285985307,BrainAlign/gpt2-babylm-5,0.2821380444353854,0.6689092985587908,96,3.0,0.10445119912577891,,134601216
