family,model_ref,step,tokens,phenomenon,mp_accuracy
pico-decoder-small,pico-lm/pico-decoder-small@9f79f048c9629723d93a9c6d020fad45ecd81ebb,79000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@a8eea15ae0deddaf3beced3d114c9bc8ed9a25e5,80000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@8d7bca4dea2e340144c93745d61646c84d35ffdb,81000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@063ab25b24aefd512a554e49853ed6fc32ee9c1b,82000,,Gram,0.8
pico-decoder-small,pico-lm/pico-decoder-small@d63e823855aefabdb4d0fb89c6cb30f1917edff8,83000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@aac007e3728b91b2460f8be94a5ef79547dc60b8,84000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@804cfb5f121020ed666ca55376b9e9f358701d23,85000,,Gram,0.65
pico-decoder-small,pico-lm/pico-decoder-small@938244e11e03da85918d38722414505f45c1ceda,86000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@9bd6535d2bbcd3e8e0be555350c1a9abcfa9ef20,87000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@5e4f19facb03a2fb589181b485fc44570680d8b4,88000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@48b3ab14f90bae2930c79eefee13f8548f7a3ac0,89000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@a7e691278d2179f7a23f55c82de28f96b4acd2e4,90000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@c025f14d64c01b36a07900656ded25b50f8caafd,91000,,Gram,0.65
pico-decoder-small,pico-lm/pico-decoder-small@b3b967e1f18d21573f4a6146c441a2825a5a8f83,92000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@41ae4009882dd5c1963328961a9ed1964aab8606,93000,,Gram,0.65
pico-decoder-small,pico-lm/pico-decoder-small@bfda4783bf178eae55bcebd43810ed9180cbdc63,94000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@94177e145ce01fae74b87897c8260f2f6fe1deb0,95000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@938d2d29f7aba65159e5bdc0ccfbefdc61757005,96000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@57a25f8bc299440e75e421522b5461ef9addc60f,97000,,Gram,0.65
pico-decoder-small,pico-lm/pico-decoder-small@2b2b81f5b793cfe7595f1880023e3199b0ca4d01,98000,,Gram,0.8
pico-decoder-small,pico-lm/pico-decoder-small@a014170484f226c32a449440e37684a5138bffea,99000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@912032713d1ca4f482ce957408afca3e5a267267,100000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@0405a0c52b2083efba346cb0195a2684e628b1af,101000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@a29b66f6847b3a1ec6358c6bdf5686f8db25e228,102000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@b6e1c3f17ee3de24e5563176b76cde040230086b,103000,,Gram,0.65
pico-decoder-small,pico-lm/pico-decoder-small@fd779f78578d7ce2eb7316f95b1536f35f90d660,104000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@2a9ae447eace88eb5c4be50d7b3c867cbd1a9a7e,105000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@36d78ffabfbf506523a459e2116bbc012c1adab7,106000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@3f9b3375f2ae4b81043ba582d1b2ec8bc15a04e1,107000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@00c972e3e00659382b3fe4f9d9f634ebbd9833c1,108000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@076cdde7affce35bd2bad3498e51f33f575aaddb,109000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@1f7f52ddf73285dd5484e753c1740cc68df81b76,110000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@a801b2ab639f60dbd4ebfe264aab726255eb2877,111000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@197b11d764b16772e54f2cbbfab17581cbdb9b59,112000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@0ff198943f69ee08bd0b54c8ab55d364ce931a26,113000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@fe2f1951a2f9a01d14429415f467c91c8a765024,114000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@dde9b48ac9a426d9bc86b1fc423b8241736f6ea3,115000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@eb892260583a7bfbf95a1aecbf60ebc4ee0b8fe2,116000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@62d95f269e32053c9fc3638cfe64f8b2f7b23654,117000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@31ddb818fbb16fbd1caf8ec968855022dd6afc74,118000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@82d2ace20cd9a6db92a58205d7a22f5f6173e7b8,119000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@8e25d91566448034f3bb0406ab0045355c528ae7,120000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@8a2f1db72ebb1ce87faaf75ea1db7910f308be65,121000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@e197ddf7837d73cb367f53e1dd174a4745892831,122000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@51a1f29ffaf81f8b5d071b1858b6ac094aca1b30,123000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@c2d4754b377c202474754e86b41f1321342ad24a,124000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@ef21ca419b33425716396ead8c1e60e01f301271,125000,,Gram,0.65
pico-decoder-small,pico-lm/pico-decoder-small@a8294defc7001e32644ce53dbcb87ef35587ff22,0,,Phon,0.5416666666666666
pico-decoder-small,pico-lm/pico-decoder-small@5e3d06988f3cc3adbf36b55cd8b1ddb3ae9f9bde,1000,,Phon,0.5833333333333334
pico-decoder-small,pico-lm/pico-decoder-small@9f1ca389bbb1cc08b42a32bfe58fb818b24b3490,2000,,Phon,0.4583333333333333
pico-decoder-small,pico-lm/pico-decoder-small@f2269f20ce160cf71bea0a02ccf685e126dd2dc1,3000,,Phon,0.4583333333333333
pico-decoder-small,pico-lm/pico-decoder-small@10da1c98e1cd32fc61ab4ced31075c08cf699861,4000,,Phon,0.4583333333333333
