acc_none,acc_localized_ablated,acc_random_ablated,drop_localized,drop_random,causal_selectivity,family,step,tokens,phenomenon
0.4166666666666667,0.5416666666666666,0.46874999999999994,-0.12499999999999994,-0.05208333333333326,-0.07291666666666669,pico-decoder-small,10000,,Phon
0.5416666666666666,0.5,0.46875,0.04166666666666663,0.07291666666666663,-0.03125,pico-decoder-small,13000,,Phon
0.5,0.4583333333333333,0.46875,0.041666666666666685,0.03125,0.010416666666666685,pico-decoder-small,16000,,Phon
0.5,0.5,0.5208333333333334,0.0,-0.02083333333333337,0.02083333333333337,pico-decoder-small,20000,,Phon
0.5416666666666666,0.5,0.5104166666666666,0.04166666666666663,0.03125,0.01041666666666663,pico-decoder-small,24000,,Phon
0.5,0.4166666666666667,0.43749999999999994,0.08333333333333331,0.06250000000000006,0.02083333333333326,pico-decoder-small,30000,,Phon
0.4583333333333333,0.4583333333333333,0.47916666666666663,0.0,-0.020833333333333315,0.020833333333333315,pico-decoder-small,37000,,Phon
0.4583333333333333,0.5,0.47916666666666663,-0.041666666666666685,-0.020833333333333315,-0.02083333333333337,pico-decoder-small,45000,,Phon
0.5,0.4583333333333333,0.5,0.041666666666666685,0.0,0.041666666666666685,pico-decoder-small,55000,,Phon
0.5,0.5416666666666666,0.5104166666666666,-0.04166666666666663,-0.01041666666666663,-0.03125,pico-decoder-small,68000,,Phon
0.5416666666666666,0.5833333333333334,0.5833333333333333,-0.04166666666666674,-0.04166666666666663,-1.1102230246251565e-16,pico-decoder-small,83000,,Phon
0.5,0.5,0.5104166666666667,0.0,-0.01041666666666674,0.01041666666666674,pico-decoder-small,102000,,Phon
0.4583333333333333,0.5416666666666666,0.47916666666666663,-0.08333333333333331,-0.020833333333333315,-0.0625,pico-decoder-small,125000,,Phon
0.5,0.55,0.45,-0.050000000000000044,0.04999999999999999,-0.10000000000000003,pico-decoder-small,0,,Plaus
0.75,0.7,0.775,0.050000000000000044,-0.025000000000000022,0.07500000000000007,pico-decoder-small,1000,,Plaus
0.8,0.75,0.7875000000000001,0.050000000000000044,0.012499999999999956,0.03750000000000009,pico-decoder-small,2000,,Plaus
0.7,0.65,0.75,0.04999999999999993,-0.050000000000000044,0.09999999999999998,pico-decoder-small,3000,,Plaus
0.7,0.7,0.725,0.0,-0.025000000000000022,0.025000000000000022,pico-decoder-small,4000,,Plaus
0.8,0.7,0.7749999999999999,0.10000000000000009,0.025000000000000133,0.07499999999999996,pico-decoder-small,5000,,Plaus
0.8,0.7,0.8,0.10000000000000009,0.0,0.10000000000000009,pico-decoder-small,7000,,Plaus
0.85,0.85,0.7875,0.0,0.0625,-0.0625,pico-decoder-small,8000,,Plaus
0.9,0.65,0.8375,0.25,0.0625,0.1875,pico-decoder-small,10000,,Plaus
0.85,0.75,0.8375,0.09999999999999998,0.012499999999999956,0.08750000000000002,pico-decoder-small,13000,,Plaus
