family,step,tokens,task,session,rsa_intact,rsa_circuit_ablated,rsa_random_ablated
beetle-fineweb3-eng,512,,Gram,ses-7,-0.014982758076979238,-0.016858304752784856,-0.016799956239155787
beetle-fineweb3-eng,512,,Gram,ses-9,-0.0609975844055109,-0.062428271002866735,-0.06173727727490997
beetle-fineweb3-eng,1024,,Gram,ses-5,-0.02250852612326502,-0.024655447596186177,-0.026558975070909718
beetle-fineweb3-eng,1024,,Gram,ses-7,-0.02607888039323475,-0.028250447907832335,-0.02931045708620523
beetle-fineweb3-eng,1024,,Gram,ses-9,-0.04770842098860502,-0.049936458646107726,-0.04550861515652252
beetle-fineweb3-eng,2048,,Gram,ses-5,-0.017872646583936953,-0.019969295671733424,-0.015034307234831037
beetle-fineweb3-eng,2048,,Gram,ses-7,-0.03258466284011028,-0.03359551410446774,-0.032527608411380894
beetle-fineweb3-eng,2048,,Gram,ses-9,-0.03970229641803414,-0.039085762344305344,-0.03970032932242575
beetle-fineweb3-eng,4096,,Gram,ses-5,-0.014081148785566515,-0.013015736045329893,-0.011706565751271656
beetle-fineweb3-eng,4096,,Gram,ses-7,-0.02063966411009339,-0.01901399916915638,-0.019670939853665942
beetle-fineweb3-eng,4096,,Gram,ses-9,-0.02382878919189814,-0.021226799950775,-0.024271056772505413
beetle-fineweb3-eng,8192,,Gram,ses-5,-0.003298565062723273,-0.001785589381094213,-0.005129840185221637
beetle-fineweb3-eng,8192,,Gram,ses-7,-0.021094833587309222,-0.02228372107036554,-0.02410978306489845
beetle-fineweb3-eng,8192,,Gram,ses-9,-0.025995578546866117,-0.02040996620442102,-0.024710898484931174
beetle-fineweb3-eng,16384,,Gram,ses-5,0.0017324691435815925,0.0016896474847271608,-0.0009817484202547854
beetle-fineweb3-eng,16384,,Gram,ses-7,-0.019696152868994073,-0.01828838326007913,-0.018573034329535075
beetle-fineweb3-eng,16384,,Gram,ses-9,-0.016267797366495033,-0.018048557733452715,-0.01602855828971446
beetle-fineweb3-eng,32768,,Gram,ses-5,-0.017477078588840022,-0.006632660113616218,-0.016996040397759937
beetle-fineweb3-eng,32768,,Gram,ses-7,-0.022111873953360825,-0.01783599455058252,-0.020694987321565668
beetle-fineweb3-eng,32768,,Gram,ses-9,-0.03296906664792047,-0.022425892959561943,-0.03101450072443598
beetle-fineweb3-eng,65536,,Gram,ses-5,-0.02294544424254785,-0.017533988028124125,-0.024320537125734974
beetle-fineweb3-eng,65536,,Gram,ses-7,-0.03305761841062127,-0.03042253695162862,-0.03525366100919114
beetle-fineweb3-eng,65536,,Gram,ses-9,-0.04164205826994883,-0.035545048677798785,-0.04249836160574318
