dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Gram,ses-9,60,-0.04236069088141524,-0.013015303017304258,-0.02800586369777045,-0.08569639902828388,0.003506006065409838
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Gram,ses-9,60,-0.042368505163309485,-0.00675120630374854,-0.027875559302871486,-0.08988695499993414,0.0015036174517343683
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Gram,ses-9,60,-0.038160645286562746,-0.014983587245416319,-0.02486067330324835,-0.08328622264159666,0.008451071399313684
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Gram,ses-9,60,-0.037834931907789894,-0.03381498313064523,-0.025489200384525717,-0.08583317577372988,0.009733306625152083
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Gram,ses-9,60,-0.03844198323899291,-0.02859083434379808,-0.02571914931670036,-0.08671686973301904,0.007858079856803497
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Gram,ses-9,60,-0.04172100610491585,-0.03138756856343099,-0.027658385311373213,-0.08896996970227773,0.007408868346716951
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Phon,ses-5,72,-0.02749175868737119,-0.031291775000275475,-0.018375703230034696,-0.06463767870883895,0.012137713996456044
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Phon,ses-5,72,-0.02749175868737119,-0.031291775000275475,-0.018375703230034696,-0.06489895830112817,0.009878363099769128
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Phon,ses-5,72,-0.02749175868737119,-0.031291775000275475,-0.018375703230034696,-0.06413608897468481,0.009975725521487427
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Phon,ses-5,72,-0.02749175868737119,-0.031291775000275475,-0.018375703230034696,-0.06560690810589037,0.010234588090928955
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Phon,ses-5,72,-0.02749175868737119,-0.031291775000275475,-0.018375703230034696,-0.06726148569777503,0.009834904234150274
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Phon,ses-5,72,-0.02749175868737119,-0.031291775000275475,-0.018375703230034696,-0.06512869275393021,0.009954539538737404
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Phon,ses-5,72,-0.027510059041710416,-0.031283227124159554,-0.01839591582983441,-0.06706880015859398,0.010186506107119932
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Phon,ses-5,72,-0.0274656728135585,-0.03125394579229954,-0.018406940884270615,-0.066806649349114,0.010656330891928202
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Phon,ses-5,72,-0.027387821930538556,-0.03113042892497539,-0.018395303326810174,-0.06627636182102459,0.011222245327034206
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Phon,ses-5,72,-0.024934107747471825,-0.024997106550761903,-0.016845058172474725,-0.06246129972977932,0.01389787820371249
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,500,,Phon,ses-5,72,-0.020181227763701407,-0.01609806060977937,-0.013984669049303431,-0.056682030337333746,0.019182020297914364
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,1000,,Phon,ses-5,72,-0.03989097312026406,-0.043168468005315666,-0.027019345908020416,-0.07869386682695564,-0.0016907934249655728
