acc_none,acc_localized_ablated,acc_random_ablated,drop_localized,drop_random,causal_selectivity,family,step,tokens,phenomenon
0.375,0.3333333333333333,0.4270833333333333,0.041666666666666685,-0.052083333333333315,0.09375,beetle-humanscale-eng,32,,Phon
0.4166666666666667,0.3333333333333333,0.3958333333333333,0.08333333333333337,0.02083333333333337,0.0625,beetle-humanscale-eng,64,,Phon
0.5416666666666666,0.4583333333333333,0.46875,0.08333333333333331,0.07291666666666663,0.010416666666666685,beetle-humanscale-eng,256,,Phon
0.5416666666666666,0.4583333333333333,0.53125,0.08333333333333331,0.01041666666666663,0.07291666666666669,beetle-humanscale-eng,500,,Phon
0.25,0.25,0.2604166666666667,0.0,-0.010416666666666685,0.010416666666666685,beetle-humanscale-eng,1000,,Phon
0.375,0.375,0.3645833333333333,0.0,0.010416666666666685,-0.010416666666666685,beetle-humanscale-eng,2000,,Phon
0.4166666666666667,0.4583333333333333,0.4166666666666667,-0.04166666666666663,0.0,-0.04166666666666663,beetle-humanscale-eng,2500,,Phon
0.2916666666666667,0.25,0.34375,0.041666666666666685,-0.052083333333333315,0.09375,beetle-humanscale-eng,4000,,Phon
0.4583333333333333,0.4166666666666667,0.4166666666666667,0.04166666666666663,0.04166666666666663,0.0,beetle-humanscale-eng,5500,,Phon
0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,beetle-humanscale-eng,7500,,Phon
0.625,0.625,0.625,0.0,0.0,0.0,beetle-humanscale-eng,9500,,Phon
0.35,0.45,0.42500000000000004,-0.10000000000000003,-0.07500000000000007,-0.024999999999999967,beetle-humanscale-eng,0,,Plaus
0.35,0.45,0.42500000000000004,-0.10000000000000003,-0.07500000000000007,-0.024999999999999967,beetle-humanscale-eng,1,,Plaus
0.35,0.45,0.42500000000000004,-0.10000000000000003,-0.07500000000000007,-0.024999999999999967,beetle-humanscale-eng,2,,Plaus
0.35,0.45,0.42500000000000004,-0.10000000000000003,-0.07500000000000007,-0.024999999999999967,beetle-humanscale-eng,4,,Plaus
0.35,0.45,0.42500000000000004,-0.10000000000000003,-0.07500000000000007,-0.024999999999999967,beetle-humanscale-eng,6,,Plaus
0.35,0.45,0.42500000000000004,-0.10000000000000003,-0.07500000000000007,-0.024999999999999967,beetle-humanscale-eng,8,,Plaus
0.35,0.45,0.42500000000000004,-0.10000000000000003,-0.07500000000000007,-0.024999999999999967,beetle-humanscale-eng,16,,Plaus
0.35,0.45,0.4375,-0.10000000000000003,-0.08750000000000002,-0.012500000000000011,beetle-humanscale-eng,32,,Plaus
0.4,0.5,0.425,-0.09999999999999998,-0.024999999999999967,-0.07500000000000001,beetle-humanscale-eng,64,,Plaus
0.35,0.4,0.35,-0.050000000000000044,0.0,-0.050000000000000044,beetle-humanscale-eng,256,,Plaus
0.5,0.5,0.4875,0.0,0.012500000000000011,-0.012500000000000011,beetle-humanscale-eng,500,,Plaus
0.55,0.6,0.6,-0.04999999999999993,-0.04999999999999993,0.0,beetle-humanscale-eng,1000,,Plaus
0.6,0.6,0.6125,0.0,-0.012500000000000067,0.012500000000000067,beetle-humanscale-eng,2000,,Plaus
0.65,0.65,0.65,0.0,0.0,0.0,beetle-humanscale-eng,2500,,Plaus
0.65,0.65,0.65,0.0,0.0,0.0,beetle-humanscale-eng,4000,,Plaus
