dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@1ca25b1c86203affda1776487d77204c79b5c4f7,102000,,Phon,ses-5,72,-0.02277365555696968,0.01876348086689804,-0.014950586318519948,-0.06132683816169986,0.019226158105888187
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,,Phon,ses-5,72,-0.05291864511940433,-0.010522563488265699,-0.035264861620254245,-0.09248535184615304,-0.015816517497734803
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@daa12d1eb44fa1ea4cc31aa35a8cb029917302e9,0,,Phon,ses-7,72,0.00963311939575228,0.015653073003813505,0.006442306808889868,-0.029198405665312677,0.047635435004323
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@70ace66cdec9f20ba70c65109b42b9c263e0139b,1000,,Phon,ses-7,72,0.029078734859984304,0.0439020391935139,0.019438395977080136,-0.010205770964569386,0.07030201896161967
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@b7e416710019991ae8f34506fbea7a6ac31a8252,2000,,Phon,ses-7,72,0.039957817632944745,0.03380541962099447,0.02700587084148728,0.00018533430209253645,0.08110777672327481
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@d43df3f024539a5db7dfcab339e807d4842bcffd,3000,,Phon,ses-7,72,0.04110917624112554,0.038878037314316334,0.02725270956025345,0.0016139036149146492,0.07897397810501977
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@23e4297bb64e81b073da327cba679d797ca4fe1d,4000,,Phon,ses-7,72,-0.024059605776118147,0.011174107150462863,-0.015604127045377286,-0.06215202265120757,0.011806240313218539
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@cab5aa27e02bdec8e8bf68239ae1e6758956e134,5000,,Phon,ses-7,72,-0.05054281415721764,-0.013973857453445558,-0.03357864079453892,-0.08839885220797052,-0.011390809014387816
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@e556a1a2b5a081ce269a811dfdfa329e230c674f,7000,,Phon,ses-7,72,0.009742338003067647,0.014242865738001868,0.006385956530660369,-0.03130753745640539,0.048477007082301675
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@1eb202826693ab699be3043f3579cbde8211a5ef,8000,,Phon,ses-7,72,0.04457076379125924,0.041050985721391896,0.030031635781201667,0.0066735229902169175,0.08378376823353131
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@94cc0caf8c3cb477f0dc32aa92a7b8e182f710bf,10000,,Phon,ses-7,72,0.051640057153071586,0.04715352557460328,0.03412070597098573,0.011815777449880965,0.09172749539810925
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@10d61c2f23ed2b432c011ff4735614817452abfc,13000,,Phon,ses-7,72,0.0061278814834386805,-0.00020363765652279403,0.003918794349047098,-0.0336078297140846,0.04551423844694174
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@609cb555fe8ab89fe8deccc19ae52176c053de3c,16000,,Phon,ses-7,72,0.005088922090768702,0.005884006159725971,0.003246878531462749,-0.03546342029299453,0.04511781369468787
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@2e9b09372c42b65faa9486c0d7b8191ff5b5c4de,20000,,Phon,ses-7,72,-0.0048312367746461225,-0.0035024898773101266,-0.0029896272612846024,-0.04600588382681745,0.033577062647120126
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@020ad4d5ea0fe4c387769324ee38ad1d15bb3f85,24000,,Phon,ses-7,72,0.01720921673136017,0.01697086561309997,0.011207580337427915,-0.02210483772940124,0.05382306882932825
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@dab022094801d1fd4c0c4deb04d7c0815ea0d9b4,30000,,Phon,ses-7,72,0.013975039074105836,0.015222519481714969,0.009298408410891527,-0.023636767268705252,0.05418079789590765
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@22fe7c47349efbd4d073c95fe64e3b50251cb0fb,37000,,Phon,ses-7,72,-0.040271755016018006,-0.007073419067658134,-0.027511185836480066,-0.07979561751881221,-0.0011647512059800298
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@5a81c54569b9cadfac8813c3db918fae371226c7,45000,,Phon,ses-7,72,-0.02388724929350848,-0.002395960653581119,-0.016189679936544684,-0.06636910971180283,0.01282255709671177
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@ea63999d87b948bca4d4e9938706f51ccc88c365,55000,,Phon,ses-7,72,0.05291036806445737,0.027509615303247383,0.0354749501575664,0.013808376144219169,0.09054442239023487
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@6dc96c3465c47b8b192056175e156d703a132e5e,68000,,Phon,ses-7,72,0.013673226951331243,0.013339134778766516,0.008545029691084099,-0.026562140327196653,0.053556739891233704
