task,token_bin,mean,ci_lo,ci_hi,n,tokens
Plaus,0.0,0.018001312024016353,0.010013512983006751,0.025989111065025956,14,2902570.9709944464
Plaus,1.0,0.017642259944438698,0.012571283806510148,0.02271323608236725,23,6113480.780310711
Plaus,2.0,0.014966389870691127,0.011192410240240213,0.01874036950114204,18,12876393.93651883
Plaus,3.0,0.0068852597234536714,0.0010244181048937925,0.01274610134201355,32,27120641.540643267
Plaus,4.0,-0.013781171616238654,-0.024886814113794342,-0.0026755291186829656,9,57122296.91031942
Plaus,5.0,-0.013845399373873782,-0.018424997566518463,-0.009265801181229102,9,120312670.31131203
Plaus,6.0,-0.006185627022634466,-0.010173973631841648,-0.002197280413427285,9,253406102.70213875
Plaus,7.0,-0.0019338126994379058,-0.005553804855069035,0.001686179456193224,23,533731424.30078125
Plaus,8.0,-0.003976750119973064,-0.00923019648875504,0.0012766962488089109,9,1124160903.1846583
Plaus,9.0,-0.004731604652560962,-0.00869241721402255,-0.000770792091099373,9,2367740924.950251
Plaus,11.0,-0.008423912349000617,-0.012304849929577649,-0.004542974768423585,14,10503779302.537245
Plaus,12.0,-0.012721853589430596,-0.01801918881810677,-0.007424518360754426,14,22123370463.07825
Plaus,13.0,-0.007474880431737848,-0.012256764143314593,-0.002692996720161104,15,46596896845.34551
Plaus,14.0,-0.008387945987586803,-0.011862507814873269,-0.004913384160300337,15,98143761559.27098
Plaus,15.0,-0.009063327732035864,-0.01180930397345903,-0.006317351490612697,30,206713291766.44907
Sem,0.0,0.0036804505395324058,-0.011274228107261253,0.018635129186326066,14,2902570.9709944464
Sem,1.0,0.016092476453365426,0.003069855522050049,0.029115097384680804,23,6113480.780310711
Sem,2.0,0.027465296543791446,0.013127645152206975,0.041802947935375916,18,12876393.93651883
Sem,3.0,0.01443805684225069,0.005686181014459453,0.023189932670041928,32,27120641.540643267
Sem,4.0,0.01636782997104401,-0.0018863021252227136,0.03462196206731073,9,57122296.91031942
Sem,5.0,0.017565203418357316,-0.0008993971451529588,0.036029803981867586,9,120312670.31131203
Sem,6.0,0.02443991845267743,0.008030000593802614,0.04084983631155225,9,253406102.70213875
Sem,7.0,0.018480839789180647,0.008155620720851896,0.0288060588575094,23,533731424.30078125
Sem,8.0,0.00043219173049904673,-0.010582370875022793,0.011446754336020886,9,1124160903.1846583
Sem,9.0,-0.0015166883855501669,-0.011078274481835765,0.008044897710735431,9,2367740924.950251
Sem,11.0,-0.007916727728284622,-0.014795251280357483,-0.0010382041762117614,14,10503779302.537245
Sem,12.0,-0.00662639648396024,-0.017598941732091335,0.004346148764170856,14,22123370463.07825
Sem,13.0,-0.014341750501549594,-0.024716656129583466,-0.003966844873515722,15,46596896845.34551
Sem,14.0,-0.006280092305193317,-0.018121428538317573,0.00556124392793094,15,98143761559.27098
Sem,15.0,-0.011826469977327123,-0.018337850433379318,-0.005315089521274929,30,206713291766.44907
