task,dataset,session,token_bin,mean,ci_lo,ci_hi,n,tokens
Gram,ds003604,ses-7,14.0,0.01422655300165,0.009134711891867398,0.019318394111432602,15,98143761559.27098
Gram,ds003604,ses-7,15.0,0.01790761854307737,0.014878025422613805,0.020937211663540938,30,206713291766.44907
Gram,ds003604,ses-9,0.0,0.001218008103050478,-0.003923592953029447,0.006359609159130404,14,2902570.9709944464
Gram,ds003604,ses-9,1.0,-0.0015788183430916522,-0.005988746739195558,0.002831110053012253,23,6113480.780310711
Gram,ds003604,ses-9,2.0,-0.007109794409781501,-0.011042240513711464,-0.0031773483058515394,18,12876393.93651883
Gram,ds003604,ses-9,3.0,-0.0006569741592182375,-0.004153642346580806,0.0028396940281443304,32,27120641.540643267
Gram,ds003604,ses-9,4.0,-0.007372903606281778,-0.01674276787166073,0.00199696065909717,9,57122296.91031942
Gram,ds003604,ses-9,5.0,-0.00048720192563247837,-0.009653220178324543,0.008678816327059587,9,120312670.31131203
Gram,ds003604,ses-9,6.0,4.268087722888947e-05,-0.0042662911006745114,0.00435165285513229,9,253406102.70213875
Gram,ds003604,ses-9,7.0,-0.0033488967232214186,-0.007064550429820732,0.0003667569833778945,23,533731424.30078125
Gram,ds003604,ses-9,8.0,0.00023549399700446694,-0.006424260099342243,0.006895248093351176,9,1124160903.1846583
Gram,ds003604,ses-9,9.0,-0.003027362425546059,-0.009152936459701607,0.00309821160860949,9,2367740924.950251
Gram,ds003604,ses-9,11.0,-0.005874421424777443,-0.010011808743060107,-0.0017370341064947793,14,10503779302.537245
Gram,ds003604,ses-9,12.0,-0.0055592902660615996,-0.008018875400749938,-0.0030997051313732603,14,22123370463.07825
Gram,ds003604,ses-9,13.0,-0.007349109371585175,-0.011214472164942608,-0.0034837465782277433,15,46596896845.34551
Gram,ds003604,ses-9,14.0,-0.006389103525264501,-0.009517734405298076,-0.0032604726452309255,15,98143761559.27098
Gram,ds003604,ses-9,15.0,-0.006525419139284439,-0.008822193868731124,-0.004228644409837753,30,206713291766.44907
Phon,ds002236,ses-11,0.0,-0.009523101505774385,-0.022198546861377837,0.0031523438498290684,14,2902570.9709944464
