family,model_ref,accuracy,alignment,tokens,task
parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-4000,0.7083333333333334,-0.0002264605970307,2097152000.0,Sem
parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-50,0.5833333333333334,-0.0116324519111796,26214400.0,Sem
parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-640,0.7916666666666666,0.0135841471655865,335544320.0,Sem
parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-70,0.625,-0.0196190376589866,36700160.0,Sem
parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-10,0.2916666666666667,-0.0109720534021241,5242880.0,Sem
parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-100,0.5416666666666666,-0.0059327601054785,52428800.0,Sem
parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-1100,0.75,0.0119898710204808,576716800.0,Sem
parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-1850,0.7916666666666666,0.0126047258455326,969932800.0,Sem
parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-20,0.5833333333333334,-0.003298041337853,10485760.0,Sem
parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-30,0.6666666666666666,-0.0015838937756964,15728640.0,Sem
parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-300,0.75,-0.0069942688077649,157286400.0,Sem
parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-4000,0.7083333333333334,-0.0007526900431572,2097152000.0,Sem
parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-50,0.6666666666666666,-0.0256692189298795,26214400.0,Sem
parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-640,0.75,0.0076183039919891,335544320.0,Sem
parc-pythia-seed2,jmichaelov/parc-pythia-seed2@checkpoint-70,0.625,-0.003081076094706,36700160.0,Sem
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-10,0.625,-0.000108645867882,5242880.0,Sem
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-100,0.6666666666666666,-0.0073912790394147,52428800.0,Sem
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-1100,0.625,0.0067289079208932,576716800.0,Sem
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-1850,0.625,-0.0069197295611587,969932800.0,Sem
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-20,0.5416666666666666,0.0041121862503411,10485760.0,Sem
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-30,0.6666666666666666,0.0090470883833348,15728640.0,Sem
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-300,0.5833333333333334,-0.0126267934408035,157286400.0,Sem
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-4000,0.7083333333333334,0.0053092818510671,2097152000.0,Sem
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-50,0.5416666666666666,0.0300673413300046,26214400.0,Sem
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-640,0.625,0.0090819126655651,335544320.0,Sem
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-70,0.625,0.0007261864120999,36700160.0,Sem
