dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,n_stim_ceil,ceiling_lower,ceiling_upper,ceiling_n,n_subjects,frac_of_ceiling,params,cell
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Sem,ses-11,48,0.0093697199195725,0.0057488216770965,0.0055346838087686,48,0.3901861494567716,0.5424473076996204,8,8,0.024013461094447595,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Sem,ses-11,48,0.0207253683701988,0.0210947588256733,0.0139830215157293,48,0.3901861494567716,0.5424473076996204,8,8,0.053116617283963705,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Sem,ses-11,48,0.0247556097663019,0.0267532376207675,0.0163963827899337,48,0.3901861494567716,0.5424473076996204,8,8,0.06344563947430572,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Sem,ses-11,48,0.0171892826796882,0.018295838848117,0.01166720157073,48,0.3901861494567716,0.5424473076996204,8,8,0.044054056515382765,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Sem,ses-11,48,0.0237810938801195,0.0215178174259009,0.0162768159992951,48,0.3901861494567716,0.5424473076996204,8,8,0.060948072896047756,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Sem,ses-11,48,0.0196184070830673,0.0216214862082914,0.0132215698490311,48,0.3901861494567716,0.5424473076996204,8,8,0.05027960913113039,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Sem,ses-11,48,0.0183173469396116,0.0198606942919116,0.0121454687332842,48,0.3901861494567716,0.5424473076996204,8,8,0.04694514904005059,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Sem,ses-11+,48,0.0062963528594971,-0.0063497280807289,0.0045215125828314,48,0.4363337464720812,0.5065254732386439,21,21,0.014430130399964313,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Sem,ses-11+,48,0.0008892595416665,-0.0190439261573492,0.0005663690082878,48,0.4363337464720812,0.5065254732386439,21,21,0.0020380260496844224,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Sem,ses-11+,48,-0.0026520015609511,-0.0110680474255649,-0.0025046096144285,48,0.4363337464720812,0.5065254732386439,21,21,-0.006077919900519976,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Sem,ses-11+,48,0.0101851441392404,0.0016758205551042,0.006484925144896,48,0.4363337464720812,0.5065254732386439,21,21,0.023342554229625917,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Sem,ses-11+,48,0.0154617234296223,0.0070982809467137,0.0102449860610294,48,0.4363337464720812,0.5065254732386439,21,21,0.03543554344497995,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Sem,ses-11+,48,0.0073985902244307,-0.0023966182101919,0.0052514993046247,48,0.4363337464720812,0.5065254732386439,21,21,0.016956264062202436,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Sem,ses-11+,48,0.0127682015188756,0.0013769190222783,0.0085584650141277,48,0.4363337464720812,0.5065254732386439,21,21,0.029262466224790555,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Sem,ses-11+,48,0.0101450702293389,0.0002119696479947,0.0068562114947736,48,0.4363337464720812,0.5065254732386439,21,21,0.02325071189511589,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Sem,ses-11+,48,0.009198329333495,-0.0008901762888102,0.0060318299382657,48,0.4363337464720812,0.5065254732386439,21,21,0.021080948718422254,134601216.0,ds002236/Sem/ses-11+
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Sem,ses-9,48,0.0081391089237967,-0.0024355460817327,0.0051193465360242,48,0.3444322297084097,0.4820670951978834,11,11,0.023630509057433816,134601216.0,ds002236/Sem/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Sem,ses-9,48,0.004522833608862,-0.0042073337197288,0.0034737299174989,48,0.3444322297084097,0.4820670951978834,11,11,0.01313127291453228,134601216.0,ds002236/Sem/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Sem,ses-9,48,0.0003859486240268,0.0045527224377375,-0.0001006878236956,48,0.3444322297084097,0.4820670951978834,11,11,0.0011205357418309471,134601216.0,ds002236/Sem/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Sem,ses-9,48,0.0127468393574322,0.0174331373905787,0.0082217901036455,48,0.3444322297084097,0.4820670951978834,11,11,0.03700826536536215,134601216.0,ds002236/Sem/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Sem,ses-9,48,0.0256356639303758,0.0234363641383113,0.0170225351935408,48,0.3444322297084097,0.4820670951978834,11,11,0.07442876049107978,134601216.0,ds002236/Sem/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Sem,ses-9,48,0.0151150544276938,0.0127833640898938,0.0103236484232916,48,0.3444322297084097,0.4820670951978834,11,11,0.04388397229983367,134601216.0,ds002236/Sem/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Sem,ses-9,48,0.0203244035262298,0.0153366122542,0.0133474296286507,48,0.3444322297084097,0.4820670951978834,11,11,0.05900842538294423,134601216.0,ds002236/Sem/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Sem,ses-9,48,0.0164694405459777,0.0133806597827048,0.0110662211230468,48,0.3444322297084097,0.4820670951978834,11,11,0.0478162004755491,134601216.0,ds002236/Sem/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Sem,ses-9,48,0.0153455483872521,0.0119209462314129,0.0100908078309954,48,0.3444322297084097,0.4820670951978834,11,11,0.04455317204270742,134601216.0,ds002236/Sem/ses-9
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Phon,ses-11,96,0.0646628744537656,0.0303591933036768,0.0431954529886901,96,0.23471144623324758,0.4118192032127418,10,10,0.27549945045929297,134601216.0,ds002236/Phon/ses-11
