contrast,dataset,task,session,j,j_max,n,s_ff,ratio,verdict
batch16 vs main_sweep_gpu0,ds003604,Gram,ses-9,0.0,0.0,11,0.006534,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Phon,ses-5,0.0,0.0,11,0.00668,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Phon,ses-7,0.0,0.0,11,0.006303,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Phon,ses-9,0.0,0.0,11,0.006307,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Plaus,ses-5,0.0,0.0,11,0.004394,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Plaus,ses-7,0.0,0.0,11,0.005246,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Plaus,ses-9,0.0,0.0,11,0.004836,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Sem,ses-5,0.0,0.0,11,0.005979,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Sem,ses-7,0.0,0.0,11,0.007054,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Sem,ses-9,0.0,0.0,11,0.00717,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,Orth,ses-11,0.0,0.0,11,0.013237,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,Orth,ses-11+,0.0,0.0,11,0.015741,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,Phon,ses-11,0.0,0.0,11,0.013237,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,Phon,ses-11+,0.0,0.0,11,0.015741,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,Sem,ses-11,0.0,0.0,11,0.012401,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,Sem,ses-11+,0.0,0.0,11,0.008993,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,SemLocal,ses-11,0.0,0.0,11,0.015084,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,SemLocal,ses-11+,0.0,0.0,11,0.009137,0.0,stable
fp32 vs bf16,ds002236,Phon,ses-11,0.00127,0.006411,11,0.01373,0.092494,stable
fp32 vs bf16,ds002236,Phon,ses-11+,0.001233,0.004177,11,0.013758,0.089637,stable
fp32 vs bf16,ds002236,Phon,ses-9,0.001306,0.00368,11,0.013266,0.098423,stable
fp32 vs bf16,ds002236,Sem,ses-11,0.002031,0.009985,11,0.015211,0.133524,stable
fp32 vs bf16,ds002236,Sem,ses-11+,0.000621,0.003447,11,0.012739,0.048746,stable
fp32 vs bf16,ds002236,Sem,ses-9,0.002004,0.006357,11,0.010965,0.182794,stable
fp32 vs bf16,ds003604,Gram,ses-5,0.000254,0.000908,11,0.011314,0.022411,stable
fp32 vs bf16,ds003604,Gram,ses-7,0.000238,0.000767,11,0.010026,0.023787,stable
fp32 vs bf16,ds003604,Gram,ses-9,0.000195,0.000706,11,0.006534,0.029881,stable
fp32 vs bf16,ds003604,Phon,ses-5,0.001031,0.00379,11,0.00668,0.154341,stable
fp32 vs bf16,ds003604,Phon,ses-7,0.000808,0.002915,11,0.006303,0.128241,stable
fp32 vs bf16,ds003604,Phon,ses-9,0.001085,0.003211,11,0.006307,0.172024,stable
fp32 vs bf16,ds003604,Plaus,ses-5,0.00048,0.0024,11,0.004394,0.10931,stable
fp32 vs bf16,ds003604,Plaus,ses-7,0.000316,0.001794,11,0.005246,0.06023,stable
fp32 vs bf16,ds003604,Plaus,ses-9,0.000341,0.001989,11,0.004836,0.070544,stable
fp32 vs bf16,ds003604,Sem,ses-5,0.000923,0.005702,11,0.005979,0.154306,stable
fp32 vs bf16,ds003604,Sem,ses-7,0.000781,0.004633,11,0.007054,0.11077,stable
fp32 vs bf16,ds003604,Sem,ses-9,0.000801,0.00449,11,0.00717,0.111716,stable
fp32 vs bf16,ds006239,Orth,ses-11,0.000991,0.003289,11,0.013237,0.074903,stable
fp32 vs bf16,ds006239,Orth,ses-11+,0.001089,0.004307,11,0.015741,0.069165,stable
fp32 vs bf16,ds006239,Phon,ses-11,0.000991,0.003289,11,0.013237,0.074903,stable
fp32 vs bf16,ds006239,Phon,ses-11+,0.001089,0.004307,11,0.015741,0.069165,stable
fp32 vs bf16,ds006239,Sem,ses-11,0.000633,0.003437,11,0.012401,0.051059,stable
fp32 vs bf16,ds006239,Sem,ses-11+,0.000891,0.003646,11,0.008993,0.09911,stable
fp32 vs bf16,ds006239,SemLocal,ses-11,0.001335,0.005362,11,0.015084,0.088518,stable
fp32 vs bf16,ds006239,SemLocal,ses-11+,0.001905,0.006792,11,0.009137,0.208544,matched-arm only
