dataset,task,session,family,params,rsa_mean,null_mean,null_sd,null_n,null_min,null_max,z_vs_null,exceeds_null_range,cell
ds003604,Plaus,ses-7,polypythia-410m-seed2,,0.0089051878906049,-0.0027999926573436425,0.0037820830424649095,9,-0.007208212537013919,0.0043527258744349,3.094903104062963,True,ds003604/Plaus/ses-7
ds003604,Plaus,ses-7,polypythia-410m-seed3,,0.00208336701194369,-0.0027999926573436425,0.0037820830424649095,9,-0.007208212537013919,0.0043527258744349,1.2911825611593881,False,ds003604/Plaus/ses-7
ds003604,Plaus,ses-7,polypythia-70m-seed1,,-0.001313775233597514,-0.0027999926573436425,0.0037820830424649095,9,-0.007208212537013919,0.0043527258744349,0.3929626629185569,False,ds003604/Plaus/ses-7
ds003604,Plaus,ses-7,polypythia-70m-seed2,,-0.0009925832828042182,-0.0027999926573436425,0.0037820830424649095,9,-0.007208212537013919,0.0043527258744349,0.47788727911206186,False,ds003604/Plaus/ses-7
ds003604,Plaus,ses-7,polypythia-70m-seed3,,0.004660418068478217,-0.0027999926573436425,0.0037820830424649095,9,-0.007208212537013919,0.0043527258744349,1.9725666100022123,True,ds003604/Plaus/ses-7
ds003604,Plaus,ses-7,pythia-1.4b-full,1515311488.0,-0.007148294320828671,-0.0027999926573436425,0.0037820830424649095,9,-0.007208212537013919,0.0043527258744349,-1.1497107849464605,False,ds003604/Plaus/ses-7
ds003604,Plaus,ses-7,pythia-160m-full,212654688.0,-0.013087563265680856,-0.0027999926573436425,0.0037820830424649095,9,-0.007208212537013919,0.0043527258744349,-2.7200805727503172,False,ds003604/Plaus/ses-7
ds003604,Plaus,ses-7,pythia-1b-full,1078891008.0,-0.0038029925891345,-0.0027999926573436425,0.0037820830424649095,9,-0.007208212537013919,0.0043527258744349,-0.2651977549221577,False,ds003604/Plaus/ses-7
ds003604,Plaus,ses-7,pythia-2.8b-full,,-0.0059349281634915,-0.0027999926573436425,0.0037820830424649095,9,-0.007208212537013919,0.0043527258744349,-0.828891240871516,False,ds003604/Plaus/ses-7
ds003604,Plaus,ses-7,pythia-410m-full,505997504.0,-0.008690721352398028,-0.0027999926573436425,0.0037820830424649095,9,-0.007208212537013919,0.0043527258744349,-1.5575355244487707,False,ds003604/Plaus/ses-7
ds003604,Plaus,ses-7,pythia-6.9b-full,,0.0098994324534235,-0.0027999926573436425,0.0037820830424649095,9,-0.007208212537013919,0.0043527258744349,3.3577858995106844,True,ds003604/Plaus/ses-7
ds003604,Plaus,ses-7,pythia-70m-full,95592496.0,-0.0010229809003588638,-0.0027999926573436425,0.0037820830424649095,9,-0.007208212537013919,0.0043527258744349,0.4698500104393903,False,ds003604/Plaus/ses-7
ds003604,Plaus,ses-9,babylm-gpt2,134601216.0,0.002776946898689822,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,0.0048501032954554255,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,babylm-gpt2-3,134601216.0,0.010618886671746555,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,1.9985063618355228,True,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,babylm-gpt2-5,134601216.0,0.009101297777021001,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,1.6126897545394983,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,babylm-gpt2-7,134601216.0,0.007707491877965655,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,1.2583424968126502,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,polypythia-160m-seed1,,0.005585282132426209,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,0.7188131375505294,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,polypythia-160m-seed2,,0.009028765129355337,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,1.5942497803555642,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,polypythia-160m-seed3,,0.002363927883900482,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,-0.10015171609620994,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,polypythia-410m-seed1,,0.00699358153316769,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,1.0768450780447718,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,polypythia-410m-seed2,,0.012628979159154664,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,2.509532151849143,True,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,polypythia-410m-seed3,,0.00390845185237251,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,0.29251259468937646,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,polypythia-70m-seed1,,0.0040854711776620095,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,0.3375162157269284,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,polypythia-70m-seed2,,0.006104656949289408,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,0.8508537912832991,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,polypythia-70m-seed3,,0.014463109413022573,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,2.975823065248509,True,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,pythia-1.4b-full,1515311488.0,-0.0008031489657596545,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,-0.9053176272520304,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,pythia-160m-full,212654688.0,-0.0034293795765253277,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,-1.5729842052983967,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,pythia-1b-full,1078891008.0,0.0031398789347279843,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,0.09711831065381574,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,pythia-2.8b-full,,-0.001578317771971375,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,-1.1023887839623598,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,pythia-410m-full,505997504.0,-0.001528408598194564,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,-1.0897003752856482,False,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,pythia-6.9b-full,,0.0123817815979515,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,2.446687118700358,True,ds003604/Plaus/ses-9
ds003604,Plaus,ses-9,pythia-70m-full,95592496.0,0.0063229817412287816,0.0027578692779750467,0.003933446269618866,9,-0.0023044233892938184,0.010486398516776445,0.9063585006333846,False,ds003604/Plaus/ses-9
ds003604,Sem,ses-5,babylm-gpt2,134601216.0,-0.007738310429586757,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,-0.8637827153005334,False,ds003604/Sem/ses-5
