file,task,variant,n_stim,effective_rank,rsa_vs_duration,p_perm,rsa_vs_amplitude
sub-5226_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.0021303846996517614,0.9505247376311844,0.4522359377771698
sub-5226_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.044679720850863344,0.23738130934532733,0.1252528736518684
sub-5226_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.044679720850863344,0.23738130934532733,0.1252528736518684
sub-5226_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.030263977222437836,0.31984007996002,-0.02634379488056105
sub-5227_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.04830518595296653,0.2943528235882059,0.4110069720187423
sub-5227_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.04830518595296653,0.2943528235882059,0.4110069720187423
sub-5227_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,-0.012646213211044127,0.729135432283858,0.143001929275411
sub-5227_ses-7_run-02_patterns.npz,Gram,raw,40,2,-0.037598758761708206,0.20689655172413793,0.6728042465047293
sub-5227_ses-7_run-02_patterns.npz,Gram,mean_removed,40,2,-0.037598758761708206,0.20689655172413793,0.6728042465047293
sub-5227_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.016715366811808297,0.6166916541729135,0.08411251371348283
sub-5229_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.06681104443187226,0.1454272863568216,0.48700742566840316
sub-5229_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.06681104443187226,0.1454272863568216,0.48700742566840316
sub-5229_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.03118692990983008,0.31634182908545727,0.5338203281829094
sub-5229_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.0482101186570117,0.1889055472263868,0.21978261482501302
sub-5229_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.0482101186570117,0.1889055472263868,0.21978261482501302
sub-5229_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.03609757633921097,0.23488255872063968,0.4923981187952694
sub-5231_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.06771130189655569,0.06496751624187906,0.523153745132085
sub-5231_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.06771130189655569,0.06496751624187906,0.523153745132085
sub-5231_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.02120421595819472,0.5087456271864068,0.055145086340732626
sub-5231_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.03994779297428405,0.25337331334332835,0.5025751951496406
sub-5231_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.03994779297428405,0.25337331334332835,0.5025751951496406
sub-5231_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.0442181045059713,0.12243878060969515,0.09009507551155384
sub-5233_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.07688007578181096,0.06646676661669165,0.3556692742250247
sub-5233_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.07688007578181096,0.06646676661669165,0.3556692742250247
sub-5233_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.023994011466563853,0.46976511744127936,0.14044196957285243
sub-5233_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.046288057437232404,0.14992503748125938,0.1706723838998876
sub-5233_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.046288057437232404,0.14992503748125938,0.1706723838998876
sub-5233_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.04315514784392208,0.1629185407296352,0.1253999431294266
sub-5246_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.06652358107053855,0.08045977011494253,0.5715180586828963
sub-5246_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.06652358107053855,0.08045977011494253,0.5715180586828963
sub-5246_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,-0.004587061049811051,0.895552223888056,0.18520343494217545
sub-5246_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.040143009527697726,0.19940029985007496,0.5938395438115195
sub-5246_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.040143009527697726,0.19940029985007496,0.5938395438115195
sub-5246_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.04221943596124818,0.1584207896051974,0.028737441661197287
sub-5258_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.062385934393467034,0.10744627686156921,0.2720282628290367
sub-5258_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.062385934393467034,0.10744627686156921,0.2720282628290367
sub-5258_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.01315735331082583,0.6901549225387307,0.29368937667044664
sub-5258_ses-7_run-02_patterns.npz,Gram,raw,40,4,-0.04756876147511651,0.21539230384807595,0.43107222019153174
sub-5258_ses-7_run-02_patterns.npz,Gram,mean_removed,40,4,-0.04756876147511651,0.21539230384807595,0.43107222019153174
sub-5258_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.026828810703874478,0.3493253373313343,0.14276347240241002
