family,model_ref,step,tokens,task,session,rsa_intact,rsa_circuit_ablated,rsa_random_ablated
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,4096,,Gram,ses-5,-0.0140811487855665,-0.0130157360453298,-0.0117065657512716
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,4096,,Gram,ses-7,-0.0206396641100933,-0.0190139991691563,-0.0196709398536659
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,4096,,Gram,ses-9,-0.0238287891918981,-0.021226799950775,-0.0242710567725054
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,8192,,Gram,ses-5,-0.0032985650627232,-0.0017855893810942,-0.0051298401852216
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,8192,,Gram,ses-7,-0.0210948335873092,-0.0222837210703655,-0.0241097830648984
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,8192,,Gram,ses-9,-0.0259955785468661,-0.020409966204421,-0.0247108984849311
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,16384,,Gram,ses-5,0.0017324691435815,0.0016896474847271,-0.0009817484202547
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,16384,,Gram,ses-7,-0.019696152868994,-0.0182883832600791,-0.018573034329535
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,16384,,Gram,ses-9,-0.016267797366495,-0.0180485577334527,-0.0160285582897144
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32768,32768,,Gram,ses-5,-0.01747707858884,-0.0066326601136162,-0.0169960403977599
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32768,32768,,Gram,ses-7,-0.0221118739533608,-0.0178359945505825,-0.0206949873215656
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32768,32768,,Gram,ses-9,-0.0329690666479204,-0.0224258929595619,-0.0310145007244359
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-65536,65536,,Gram,ses-5,-0.0229454442425478,-0.0175339880281241,-0.0243205371257349
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-65536,65536,,Gram,ses-7,-0.0330576184106212,-0.0304225369516286,-0.0352536610091911
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-65536,65536,,Gram,ses-9,-0.0416420582699488,-0.0355450486777987,-0.0424983616057431
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,Phon,ses-5,0.004737591362135,0.0078433467535093,0.0016751837942938
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,Phon,ses-7,0.0062790422953016,0.0093512626071348,0.0036931359704865
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,Phon,ses-9,0.0127777707652529,0.0181602034907994,0.0100555833559348
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,Phon,ses-5,0.004737591362135,0.0078433467535093,0.0016751837942938
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,Phon,ses-7,0.0062790422953016,0.0093512626071348,0.0036931359704865
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,Phon,ses-9,0.0127777707652529,0.0181602034907994,0.0100555833559348
