family,model_ref,dataset,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,ds003604,8192,,Gram,ses-9,60,-0.0259955785468661,-0.0164967957141839,-0.0173464531974079,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,ds003604,16384,,Gram,ses-9,60,-0.016267797366495,-0.0074625707916834,-0.0107520288202661,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32768,ds003604,32768,,Gram,ses-9,60,-0.0329690666479204,-0.0270701962012953,-0.0216682156282236,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-65536,ds003604,65536,,Gram,ses-9,60,-0.0416420582699488,-0.03143166105996,-0.0275881231376531,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,ds003604,0,,Phon,ses-5,72,0.004737591362135,-0.0004655912468692,0.0030227024245932,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,ds003604,1,,Phon,ses-5,72,0.004737591362135,-0.0004655912468692,0.0030227024245932,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,ds003604,2,,Phon,ses-5,72,0.004737591362135,-0.0004655912468692,0.0030227024245932,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,ds003604,4,,Phon,ses-5,72,0.0047630247297928,-0.000458951192565,0.0030367899941505,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,ds003604,6,,Phon,ses-5,72,0.0047831467835842,-0.0004533711199534,0.0030325024729809,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,ds003604,8,,Phon,ses-5,72,0.0047165552248314,-0.0004446750710364,0.0029914647703573,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,ds003604,16,,Phon,ses-5,72,0.0047591362817707,-0.0003609335810963,0.0030913027633073,,
