family,task,session,n_checkpoints,rsa_mean,rsa_sd,rsa_min,rsa_max,ceiling,seed_null_sd,frac_of_ceiling_max,mean_in_seed_sd
pico-decoder-tiny,Phon,ses-9,21,0.011161291055305776,0.00826935047583938,-0.008638895505649,0.0330582233250571,0.1650755388561307,0.008728626502912,0.20026118681259333,1.278699581381126
pythia-1.4b-full,Orth,ses-11,21,0.018733383885640793,0.007416361629565771,0.0070834226436702,0.0322951144977988,0.2136860995937111,,0.1511334361907613,
pythia-1.4b-full,Orth,ses-11+,21,0.0070776209377767865,0.009064185490025628,-0.0079853163365069,0.0203354083300245,0.1742624769225749,,0.11669413111268673,
pythia-1.4b-full,Orth,ses-7,21,0.003187447638095247,0.0064809034286224506,-0.0075490537914298,0.0114068759940574,,,,
pythia-1.4b-full,Orth,ses-9,21,0.0026788858952546666,0.012203426192589276,-0.0136848073952191,0.021313802918515,0.1650755388561307,,0.12911545263584298,
pythia-1.4b-full,Phon,ses-11,21,0.018733383885640793,0.007416361629565771,0.0070834226436702,0.0322951144977988,0.2136860995937111,,0.1511334361907613,
pythia-1.4b-full,Phon,ses-11+,21,0.0070776209377767865,0.009064185490025628,-0.0079853163365069,0.0203354083300245,0.1742624769225749,,0.11669413111268673,
pythia-1.4b-full,Phon,ses-7,21,0.003187447638095247,0.0064809034286224506,-0.0075490537914298,0.0114068759940574,,0.0081448036195669,,0.3913473899404759
pythia-1.4b-full,Phon,ses-9,21,0.0026788858952546666,0.012203426192589276,-0.0136848073952191,0.021313802918515,0.1650755388561307,0.008728626502912,0.12911545263584298,0.3069080678799752
pythia-160m-full,Orth,ses-11,21,0.012861215651136425,0.012455888677451387,-0.0240566127054165,0.0302017859590246,0.2136860995937111,,0.14133715771146704,
pythia-160m-full,Orth,ses-11+,21,0.010839480561079775,0.01241118738460973,-0.0127830063422275,0.0267235391956311,0.1742624769225749,,0.15335222858966024,
pythia-160m-full,Orth,ses-7,21,0.009037538469275666,0.00802299428852923,-0.0111658293952561,0.0276561143951837,,,,
pythia-160m-full,Orth,ses-9,21,0.0038898465471601568,0.008867241708163253,-0.0109982815030316,0.0248021980478855,0.1650755388561307,,0.15024756677911869,
pythia-160m-full,Phon,ses-11,21,0.012861215651136425,0.012455888677451387,-0.0240566127054165,0.0302017859590246,0.2136860995937111,,0.14133715771146704,
pythia-160m-full,Phon,ses-11+,21,0.010839480561079775,0.01241118738460973,-0.0127830063422275,0.0267235391956311,0.1742624769225749,,0.15335222858966024,
pythia-160m-full,Phon,ses-7,21,0.009037538469275666,0.00802299428852923,-0.0111658293952561,0.0276561143951837,,0.0081448036195669,,1.1096079035673836
pythia-160m-full,Phon,ses-9,21,0.0038898465471601568,0.008867241708163253,-0.0109982815030316,0.0248021980478855,0.1650755388561307,0.008728626502912,0.15024756677911869,0.4456424554152301
pythia-1b-full,Orth,ses-11,21,0.01924807740751522,0.01292378694356511,0.0032350270515055,0.0420097675504041,0.2136860995937111,,0.1965956963521668,
pythia-1b-full,Orth,ses-11+,21,0.01328751450727345,0.011868522330240926,-0.0178132356475359,0.0331734359061272,0.1742624769225749,,0.19036476751599377,
pythia-1b-full,Orth,ses-7,21,0.000817979687114762,0.006305660464077427,-0.0127524960673563,0.0129862523406463,,,,
pythia-1b-full,Orth,ses-9,21,0.005160472894087481,0.008638457289632143,-0.0179988610918196,0.0159657455415157,0.1650755388561307,,0.09671781568697725,
pythia-1b-full,Phon,ses-11,21,0.01924807740751522,0.01292378694356511,0.0032350270515055,0.0420097675504041,0.2136860995937111,,0.1965956963521668,
pythia-1b-full,Phon,ses-11+,21,0.01328751450727345,0.011868522330240926,-0.0178132356475359,0.0331734359061272,0.1742624769225749,,0.19036476751599377,
pythia-1b-full,Phon,ses-7,21,0.000817979687114762,0.006305660464077427,-0.0127524960673563,0.0129862523406463,,0.0081448036195669,,0.1004296389847467
pythia-1b-full,Phon,ses-9,21,0.005160472894087481,0.008638457289632143,-0.0179988610918196,0.0159657455415157,0.1650755388561307,0.008728626502912,0.09671781568697725,0.5912124768273531
pythia-410m-full,Orth,ses-11,21,0.006593208574092071,0.01246074951812336,-0.0136443349199611,0.0406837352358189,0.2136860995937111,,0.19039018126669127,
pythia-410m-full,Orth,ses-11+,21,0.003491649968735338,0.007305720866410303,-0.0108585296141526,0.0151921124734992,0.1742624769225749,,0.08717948201923631,
pythia-410m-full,Orth,ses-7,21,0.004175385974745043,0.007820925573085077,-0.0068116987145393,0.018000570246338,,,,
pythia-410m-full,Orth,ses-9,21,-0.0074246184352779535,0.008281337384081967,-0.0238146031331438,0.007280223465328,0.1650755388561307,,0.0441023758927298,
pythia-410m-full,Phon,ses-11,21,0.006593208574092071,0.01246074951812336,-0.0136443349199611,0.0406837352358189,0.2136860995937111,,0.19039018126669127,
pythia-410m-full,Phon,ses-11+,21,0.003491649968735338,0.007305720866410303,-0.0108585296141526,0.0151921124734992,0.1742624769225749,,0.08717948201923631,
pythia-410m-full,Phon,ses-7,21,0.004175385974745043,0.007820925573085077,-0.0068116987145393,0.018000570246338,,0.0081448036195669,,0.5126441556815667
pythia-410m-full,Phon,ses-9,21,-0.0074246184352779535,0.008281337384081967,-0.0238146031331438,0.007280223465328,0.1650755388561307,0.008728626502912,0.0441023758927298,-0.8506055829976217
pythia-70m-full,Orth,ses-11,21,0.003268714110103176,0.013732311629662588,-0.0158271827837626,0.029476899420624,0.2136860995937111,,0.13794486153600755,
pythia-70m-full,Orth,ses-11+,21,0.001777913460237081,0.008295092511627565,-0.0110493144143971,0.0178056203232239,0.1742624769225749,,0.10217701847044769,
pythia-70m-full,Orth,ses-7,21,0.00034675638199496185,0.012862208819376518,-0.0187017435155481,0.0178936210888238,,,,
pythia-70m-full,Orth,ses-9,21,0.0010168684127276268,0.010785073910657137,-0.0158351938523307,0.0326735745887345,0.1650755388561307,,0.19793104911328327,
pythia-70m-full,Phon,ses-11,21,0.003268714110103176,0.013732311629662588,-0.0158271827837626,0.029476899420624,0.2136860995937111,,0.13794486153600755,
pythia-70m-full,Phon,ses-11+,21,0.001777913460237081,0.008295092511627565,-0.0110493144143971,0.0178056203232239,0.1742624769225749,,0.10217701847044769,
pythia-70m-full,Phon,ses-7,21,0.00034675638199496185,0.012862208819376518,-0.0187017435155481,0.0178936210888238,,0.0081448036195669,,0.042573940169892105
pythia-70m-full,Phon,ses-9,21,0.0010168684127276268,0.010785073910657137,-0.0158351938523307,0.0326735745887345,0.1650755388561307,0.008728626502912,0.19793104911328327,0.11649810109166481
