dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,repo,ceiling_lower,ceiling_upper,ceiling_n_stim,ceiling_n_subjects,frac_of_ceiling,seed_null_sd,params
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Sem,ses-9,72,0.0479114314590557,0.0147640832994148,0.0317276566553047,BrainAlign/gpt2-babylm-5,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Phon,ses-9,96,0.0159373506696637,0.0167538137485975,0.0105363210614823,BrainAlign/gpt2-babylm-7,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Phon,ses-9,96,0.0190782023580277,0.0264750522898975,0.0127467165390994,BrainAlign/gpt2-babylm-7,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Phon,ses-9,96,0.0307564737388148,0.0378425425695109,0.0203487991749498,BrainAlign/gpt2-babylm-7,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Phon,ses-9,96,0.0258726849951326,0.0282605657967163,0.0173691522071245,BrainAlign/gpt2-babylm-7,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Phon,ses-9,96,0.0309715471371236,0.0350945256201457,0.0207901855977957,BrainAlign/gpt2-babylm-7,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Phon,ses-9,96,0.0299159386299094,0.0335879955667611,0.020060377968391,BrainAlign/gpt2-babylm-7,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Phon,ses-9,96,0.0250235615904278,0.0282794682746563,0.0166516587586535,BrainAlign/gpt2-babylm-7,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Phon,ses-9,96,0.0300407593044176,0.0317232468522997,0.0201148297372076,BrainAlign/gpt2-babylm-7,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Phon,ses-9,96,0.0282331333133614,0.0305534816233119,0.0189259340498647,BrainAlign/gpt2-babylm-7,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Sem,ses-9,72,0.0404102825038691,0.0056467227470237,0.0272496470451322,BrainAlign/gpt2-babylm-7,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Sem,ses-9,72,0.0061482054692009,-0.0071257847969532,0.0040639575657904,BrainAlign/gpt2-babylm-7,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Sem,ses-9,72,0.0191979534475017,0.0013187830352848,0.0127523129645452,BrainAlign/gpt2-babylm-7,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Sem,ses-9,72,0.0387502464818644,0.0111045011195841,0.0259333780460541,BrainAlign/gpt2-babylm-7,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Sem,ses-9,72,0.0408422660114455,0.0146118097890533,0.0270107708656811,BrainAlign/gpt2-babylm-7,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Sem,ses-9,72,0.0461641184271219,0.0152783720511906,0.0306031011028116,BrainAlign/gpt2-babylm-7,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Sem,ses-9,72,0.0480260239001003,0.014438089370717,0.031817694599867,BrainAlign/gpt2-babylm-7,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Sem,ses-9,72,0.0474545305523449,0.0147722445196249,0.0314342677066968,BrainAlign/gpt2-babylm-7,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Sem,ses-9,72,0.0470565441963995,0.0139728207459868,0.0310073530988059,BrainAlign/gpt2-babylm-7,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-9,96,0.0315288680652966,0.0256283153303134,0.0209922151287409,BrainAlign/gpt2-babylm-9,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-9,96,0.0152496815562277,0.0127283408799058,0.0102309678561395,BrainAlign/gpt2-babylm-9,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-9,96,0.0284326113252954,0.0226116817196476,0.0191143025363364,BrainAlign/gpt2-babylm-9,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,ses-9,96,0.0223773981953216,0.0154892978762291,0.0147350719417539,BrainAlign/gpt2-babylm-9,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Phon,ses-9,96,0.0283943252516264,0.0245720520925793,0.0190962160830899,BrainAlign/gpt2-babylm-9,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Phon,ses-9,96,0.0354055795576422,0.0269082254322954,0.0236270650304198,BrainAlign/gpt2-babylm-9,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Phon,ses-9,96,0.027819747747726,0.0204439664660636,0.018487048945021,BrainAlign/gpt2-babylm-9,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Phon,ses-9,96,0.0303039159462385,0.0217173134348565,0.0201152145553618,BrainAlign/gpt2-babylm-9,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Phon,ses-9,96,0.0313631856256898,0.0222768100050246,0.0208367485944516,BrainAlign/gpt2-babylm-9,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Sem,ses-9,72,0.0271865949250521,0.018298894638725,0.0178532381503633,BrainAlign/gpt2-babylm-9,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Sem,ses-9,72,0.0312984867810966,0.0153403485552729,0.0210015036949244,BrainAlign/gpt2-babylm-9,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Sem,ses-9,72,0.0262920959396327,0.0175607674325241,0.0176437621160754,BrainAlign/gpt2-babylm-9,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Sem,ses-9,72,0.0236445428741834,0.0158377627734948,0.0156414897298555,BrainAlign/gpt2-babylm-9,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Sem,ses-9,72,0.0247486501198076,0.0219500408351044,0.016363630795427,BrainAlign/gpt2-babylm-9,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Sem,ses-9,72,0.0212460933754057,0.0121574699460193,0.0142602954102085,BrainAlign/gpt2-babylm-9,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Sem,ses-9,72,0.0152851334582228,0.0082360789222424,0.0104162264301179,BrainAlign/gpt2-babylm-9,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Sem,ses-9,72,0.0160672504749901,0.008983592163746,0.01076229063881,BrainAlign/gpt2-babylm-9,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Sem,ses-9,72,0.0139387444971696,0.0069196577419142,0.0092916708776249,BrainAlign/gpt2-babylm-9,,,72,,,0.0084082983710845,134601216
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,Phon,ses-9,96,-0.0280756725334459,-0.0192966803265183,-0.0187410289267806,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,Phon,ses-9,96,-0.0280756725334459,-0.0192966803265183,-0.0187410289267806,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,,Phon,ses-9,96,-0.0280756725334459,-0.0192966803265183,-0.0187410289267806,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,4,,Phon,ses-9,96,-0.028065844863326,-0.0192875448505583,-0.0187279451095384,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,6,,Phon,ses-9,96,-0.0280271489975555,-0.0192690874024897,-0.0187083193836752,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,8,,Phon,ses-9,96,-0.0279860598092306,-0.0192378538431815,-0.0186784959767262,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,16,,Phon,ses-9,96,-0.0274656980028476,-0.0189520009621513,-0.0183196530479521,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,32,,Phon,ses-9,96,-0.0250869431906475,-0.017438126427159,-0.0167520962968949,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,64,,Phon,ses-9,96,0.0067455712035025,0.0123609652996113,0.0045610571724331,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,128,,Phon,ses-9,96,0.0212815619744073,0.0213651871054083,0.0140626022173222,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,256,,Phon,ses-9,96,0.0399457820497649,0.0467515297694824,0.0265060820509268,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,512,,Phon,ses-9,96,0.024746432657878,0.0180733634167407,0.0167330477982629,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,1024,,Phon,ses-9,96,4.203849362235795e-06,0.0072014487198301,-4.232999695993658e-06,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,2048,,Phon,ses-9,96,-0.0138113096347835,-0.0081513045003054,-0.0093420379199809,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,4096,,Phon,ses-9,96,0.0053682140101713,0.0117398643712709,0.0035624540623328,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,8192,,Phon,ses-9,96,-0.000352001670271,0.0040832069039511,-0.0002820717070148,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,16384,,Phon,ses-9,96,0.0092615095534675,-0.0013789171260114,0.0060741621546738,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32768,32768,,Phon,ses-9,96,0.0007487774938512,0.0111858808021033,0.0003580732924656,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-65536,65536,,Phon,ses-9,96,0.0033944942687208,-0.0075162582789269,0.0019995151291257,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,96,,,0.008728626502912,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,Sem,ses-9,72,0.0185222509862697,-0.0042790746592393,0.0123309108838724,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,Sem,ses-9,72,0.0185222509862697,-0.0042790746592393,0.0123309108838724,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,,Sem,ses-9,72,0.0185222509862697,-0.0042790746592393,0.0123309108838724,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,4,,Sem,ses-9,72,0.0185004933553763,-0.0042952014824007,0.0123149858052424,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,6,,Sem,ses-9,72,0.0184842554378923,-0.004323063475995,0.0123100857810485,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,8,,Sem,ses-9,72,0.0184549113450199,-0.004354988127398,0.0122886481752003,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,16,,Sem,ses-9,72,0.0181039169301312,-0.0045661449890868,0.0120424219594584,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,32,,Sem,ses-9,72,0.0164244645383044,-0.0055005080142517,0.0108866287527294,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,64,,Sem,ses-9,72,-0.0073348612109886,-0.0179962021939451,-0.0051928006394531,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,128,,Sem,ses-9,72,-0.0192987455270945,-0.0199268345189249,-0.0128668510300769,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,256,,Sem,ses-9,72,-0.0130970216180499,-0.0108701187493451,-0.0083086035237298,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,512,,Sem,ses-9,72,0.0128460151479663,0.0028210841300043,0.0088347436215466,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,1024,,Sem,ses-9,72,0.0266516462336843,0.0292960561491956,0.0177393125878559,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,2048,,Sem,ses-9,72,0.0144300421077384,0.0208990143481111,0.0093308710711759,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
ds002236,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,4096,,Sem,ses-9,72,0.0026617005199327,0.0022608641503255,0.0018938593509305,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,,,72,,,0.0084082983710845,193804032
