dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,n_stim_ceil,ceiling_lower,ceiling_upper,ceiling_n,n_subjects,frac_of_ceiling,params,cell
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Sem,ses-11,48,0.0141579209030146,0.0073511165134902,0.0093167701863354,48,0.3901861494567716,0.5424473076996204,8,8,0.03628504221055941,95592496,ds002236/Sem/ses-11
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Sem,ses-11,48,-0.0187470231974344,-0.0176603877576938,-0.0128156720597582,48,0.3901861494567716,0.5424473076996204,8,8,-0.04804635742077095,95592496,ds002236/Sem/ses-11
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Sem,ses-11+,48,0.0072607854710413,-0.0262427507757254,0.0049368498555759,48,0.4363337464720812,0.5065254732386439,21,21,0.01664043986913096,95592496,ds002236/Sem/ses-11+
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Sem,ses-11+,48,-0.0163673202172616,0.0012761979862839,-0.01140918902251,48,0.4363337464720812,0.5065254732386439,21,21,-0.037511011581381,95592496,ds002236/Sem/ses-11+
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Sem,ses-11+,48,-0.0334304449110323,-0.0370344469761934,-0.0227680341331722,48,0.4363337464720812,0.5065254732386439,21,21,-0.07661668431866603,95592496,ds002236/Sem/ses-11+
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Sem,ses-9,48,0.0059225359365483,-0.0411158983238197,0.0042383280786875,48,0.3444322297084097,0.4820670951978834,11,11,0.017195068944512584,95592496,ds002236/Sem/ses-9
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Sem,ses-9,48,-0.0259374598518869,-0.0201359168764653,-0.0177084709924672,48,0.3444322297084097,0.4820670951978834,11,11,-0.07530497327107019,95592496,ds002236/Sem/ses-9
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Sem,ses-9,48,-0.0118932057139693,-0.0246729879562236,-0.0075327078102286,48,0.3444322297084097,0.4820670951978834,11,11,-0.034529886253786064,95592496,ds002236/Sem/ses-9
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Gram,ses-5,60,0.0249028861507007,0.0159385636407661,0.0166732138237633,60,0.839814981527775,0.8472510440086011,97,97,0.029652824370193846,95592496,ds003604/Gram/ses-5
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Gram,ses-5,60,0.0306251153389684,0.018625809673019,0.0204954760741329,60,0.839814981527775,0.8472510440086011,97,97,0.036466502756661696,95592496,ds003604/Gram/ses-5
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Gram,ses-5,60,0.0186373944950894,0.0191372879418258,0.0126542174869775,60,0.839814981527775,0.8472510440086011,97,97,0.022192262468555417,95592496,ds003604/Gram/ses-5
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Gram,ses-7,60,0.0187852555969969,0.0191090946845848,0.0126005627361367,60,0.8473571685763311,0.8585291067224872,104,104,0.022169229568870637,95592496,ds003604/Gram/ses-7
ds003604,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Gram,ses-7,60,0.0260534920921593,0.0215260201139161,0.0176568842558437,60,0.8473571685763311,0.8585291067224872,104,104,0.03074676542352561,95592496,ds003604/Gram/ses-7
